testName	seed	initInt	finalInt	nCircles	rStart	rEnd	biasType	biasSigma	ampType	ampParam1	ampParam2	growRate	brightStep	ROIspacing	inSmall	inLarge	onBound	outAll	isNegative
ROI‐Spacing	4286	1524.59	5106.57	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	1	16	0
ROI‐Spacing	4287	-495.253	-18173.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	2	4	2	16	1
ROI‐Spacing	4288	1940.19	8282.85	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	1	16	0
ROI‐Spacing	4289	2347.06	502.988	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	6	7	1	13	1
ROI‐Spacing	4290	431.566	-28816.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	0	1	1	19	1
ROI‐Spacing	4291	1797.96	21846.4	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	0	16	0
ROI‐Spacing	4292	1065.33	29646.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	6	0	14	0
ROI‐Spacing	4293	1818.27	11217.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	3	0	17	0
ROI‐Spacing	4294	197.056	-4145.17	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	4	3	16	1
ROI‐Spacing	4295	465.259	11230.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	2	4	1	16	0
ROI‐Spacing	4296	1311.68	-14735	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	2	4	3	16	1
ROI‐Spacing	4297	706.309	-9096.31	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	5	1	15	1
ROI‐Spacing	4298	-786.643	-14896.4	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	8	4	12	1
ROI‐Spacing	4299	1649.5	26418	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	8	2	12	0
